beachName,siteName,collectionDate,eColi
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 1,2007-05-21,20.96071461433131
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 2,2007-05-21,2.3971436736373875
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 3,2007-05-21,20.169322970337205
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 4,2007-05-21,316.43008562350786
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 5,2007-05-21,106.31858426354475
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 1,2007-05-22,1446.1630738030804
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 2,2007-05-22,32.13715187457023
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 3,2007-05-22,22.958228198837624
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 4,2007-05-22,150.38929043163873
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 5,2007-05-22,179.17298346837265
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 1,2007-05-23,366.9723481157572
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 2,2007-05-23,260.24819833872164
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 3,2007-05-23,329.75177869896004
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 4,2007-05-23,5240.586680411162
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 5,2007-05-23,36.621635966423526
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 1,2007-05-24,2173.0575256957977
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 2,2007-05-24,136.99933846026255
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 3,2007-05-24,27.00244110447769
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 4,2007-05-24,94.22424587806447
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 5,2007-05-24,8.577987980332475
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 1,2007-05-25,64.56442436458471
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 2,2007-05-25,35.429340438245774
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 3,2007-05-25,116.3862098443603
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 4,2007-05-25,162.51687993972405
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 5,2007-05-25,18.520948638244324
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 1,2007-05-26,35.03767183631369
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 2,2007-05-26,23.93167836619853
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 3,2007-05-26,42.54666132377013
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 4,2007-05-26,99.03917040362934
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 5,2007-05-26,2.1742083273912005
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 1,2007-05-27,84.35582726187957
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 2,2007-05-27,181.57005696361765
